Rank,Author,Title,Citations,Year,Journal,Source
1,"Z Chen, Y Wang, Y Jiang, R Kong, H Hu",Grating coupler on single-crystal lithium niobate thin film,37,2017,"Optical Materials, ",https://www.sciencedirect.com/science/article/pii/S0925346717303737
43,"M Rusing, PO Weigel, J Zhao…","Toward 3d integrated photonics including lithium niobate thin films: a bridge between electronics, radio frequency, and optical technology",37,2019,"IEEE Nanotechnology …, ",https://ieeexplore.ieee.org/abstract/document/8734707/
76,"CJ Sarabalis, R Van Laer, RN Patel, YD Dahmani…",Acousto-optic modulation of a wavelength-scale waveguide,37,2021,"Optica, ",https://opg.optica.org/abstract.cfm?uri=optica-8-4-477
52,"ANR Ahmed, S Shi, AJ Mercante, DW Prather",High-performance racetrack resonator in silicon nitride-thin film lithium niobate hybrid platform,37,2019,"Optics express, ",https://opg.optica.org/abstract.cfm?uri=oe-27-21-30741
79,"F Chen, H Amekura, Y Jia",Ion irradiation of dielectrics for photonic applications,35,2020,,https://link.springer.com/content/pdf/10.1007/978-981-15-4607-5.pdf
80,"H Nishihara, M Haruna, T Suhara",Optical integrated circuits,35,2000,"Electro-Optics Handbook, ",https://ds.amu.edu.et/xmlui/bitstream/handle/123456789/2657/1006706.pdf?sequence=1&isAllowed=y#page=869
67,"Z Zhao, S Fan",Design principles of apodized grating couplers,31,2020,"Journal of Lightwave Technology, ",https://ieeexplore.ieee.org/abstract/document/9086783/
98,"J Gerblinger, KH Hardtl, H Meixner…",High-temperature microsensors,29,1995,"Sensors, A …, ",https://books.google.com/books?hl=en&lr=&id=WSFpPsdkND0C&oi=fnd&pg=PA181&dq=%22grating%2Bcoupler%22%2B%22uniform%22%2B%22lithium%2Bniobate%22%2B%22x-cut%22&ots=YS3zYRvQO9&sig=6kHr3WdjpNzrHeYZapEsonx3CCc
5,"X Han, Y Jiang, A Frigg, H Xiao, P Zhang, A Boes…",Single-step etched grating couplers for silicon nitride loaded lithium niobate on insulator platform,27,2021,"Apl Photonics, ",https://pubs.aip.org/aip/app/article/6/8/086108/123700
99,"W Wang, X Zhang, Q Wang, Z Cong, X Chen, Z Liu…",Multiple-beam output of a surface-emitted terahertz-wave parametric oscillator by using a slab MgO:LiNbO3 crystal,26,2014,"Optics Letters, ",https://opg.optica.org/abstract.cfm?uri=ol-39-4-754
95,"RS Romaniuk, A Domariski, T Maciak…",Optical fiber interfaces for integrated optics,25,1987,"… Circuit Engineering IV, ",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/0704/0000/Optical-Fiber-Interfaces-For-Integrated-Optics/10.1117/12.937209.short
12,"E Lomonte, F Lenzini, WHP Pernice",Efficient self-imaging grating couplers on a lithium-niobate-on-insulator platform at near-visible and telecom wavelengths,23,2021,"Optics Express, ",https://opg.optica.org/abstract.cfm?uri=oe-29-13-20205
7,"B Chen, Z Ruan, X Fan, Z Wang, J Liu, C Li, K Chen…",Low-loss fiber grating coupler on thin film lithium niobate platform,22,2022,"APL Photonics, ",https://pubs.aip.org/aip/app/article/7/7/076103/2835178
3,"Z Ruan, J Hu, Y Xue, J Liu, B Chen, J Wang, K Chen…",Metal based grating coupler on a thin-film lithium niobate waveguide,21,2020,"Optics …, ",https://opg.optica.org/abstract.cfm?uri=oe-28-24-35615
54,"X Ma, C Zhuang, R Zeng, JJ Coleman, W Zhou",Polarization-independent one-dimensional grating coupler design on hybrid silicon/LNOI platform,19,2020,"Optics Express, ",https://opg.optica.org/abstract.cfm?uri=oe-28-11-17113
42,"C Li, B Chen, Z Ruan, H Wu, Y Zhou, J Liu, P Chen…",High modulation efficiency and large bandwidth thin-film lithium niobate modulator for visible light,19,2022,"Optics …, ",https://opg.optica.org/abstract.cfm?uri=oe-30-20-36394
104,KK Mehta,Integrated optical quantum manipulation and measurement of trapped ions,18,2017,,https://dspace.mit.edu/handle/1721.1/108849
68,"I Christen, M Sutula, T Propson, H Sattari…",An integrated photonic engine for programmable atomic control,17,2022,"arXiv preprint arXiv …, ",https://arxiv.org/abs/2208.06732
73,"DB Borlaug, S Estrella, CT Boone, GA Sefler…",Photonic integrated circuit based compressive sensing radio frequency receiver using waveguide speckle,15,2021,"Optics …, ",https://opg.optica.org/abstract.cfm?uri=oe-29-13-19222
23,"X Huang, Y Liu, Z Li, Z Fan, W Han",High-performance and compact integrated photonics platform based on silicon rich nitride–lithium niobate on insulator,14,2021,"APL Photonics, ",https://pubs.aip.org/aip/app/article/6/11/116102/123484
93,"Z Yu, H Xu, D Liu, H Li, Y Shi…",Subwavelength-structure-assisted ultracompact polarization-handling components on silicon,12,2021,"Journal of Lightwave …, ",https://ieeexplore.ieee.org/abstract/document/9647970/
2,"S Yang, Y Li, J Xu, M Wang, L Wu, X Quan…",Low loss ridge-waveguide grating couplers in lithium niobate on insulator,12,2021,"Optical Materials …, ",https://opg.optica.org/abstract.cfm?uri=ome-11-5-1366
59,"X Huang, Y Liu, Z Li, H Guan, Q Wei…",Advanced electrode design for low-voltage high-speed thin-film lithium niobate modulators,11,2021,"IEEE Photonics …, ",https://ieeexplore.ieee.org/abstract/document/9378945/
36,"AE Hassanien, AO Ghoname, E Chow, LL Goddard…",Compact MZI modulators on thin film Z-cut lithium niobate,10,2022,"Optics …, ",https://opg.optica.org/abstract.cfm?uri=oe-30-3-4543
60,"G Chen, HL Lin, AJ Danner",Highly efficient thermal tuning interferometer in lithium niobate thin film using air bridge,10,2021,"IEEE Photonics Journal, ",https://ieeexplore.ieee.org/abstract/document/9417615/
13,"J He, D Liu, B Pan, Y Huang, M Zhu, M Zhang…",High-performance lithium-niobate-on-insulator optical filter based on multimode waveguide gratings,8,2022,"Optics Express, ",https://opg.optica.org/abstract.cfm?uri=oe-30-19-34140
9,"B Chen, Z Ruan, K Chen, L Liu",One-dimensional grating coupler on lithium-niobate-on-insulator for high-efficiency and polarization-independent coupling,6,2023,"Optics Letters, ",https://opg.optica.org/abstract.cfm?uri=ol-48-6-1434
107,"CM Verber, DW Vahey, VE Wood, RP Kenan…",Feasibility investigation of integrated optics Fourier transform devices,6,1977,,https://ntrs.nasa.gov/citations/19770021527
109,"J Tian, F Laurell, V Pasiskevicius, M Qiu, H Jang",Demonstration of terahertz ferroelectric metasurface using a simple and scalable fabrication method,4,2018,"Optics Express, ",https://opg.optica.org/abstract.cfm?uri=oe-26-21-27917
97,TA Ortega,Frequency extension of solid-state terahertz lasers,4,2017,"Macquarie University, ",https://figshare.mq.edu.au/ndownloader/files/34538534
46,R Zamboni,Study of light driven phenomena for optofluidic applications in Lab-on-a-chip platforms in lithium niobate,4,2019,,https://www.research.unipd.it/handle/11577/3423177
115,M Aamer,Development of an integrated silicon photonic transceiver for access networks,4,2013,,https://riunet.upv.es/handle/10251/31649
14,"F Yang, H Fang, H Han, B Xiang",Wide bandwidth silicon nitride strip-loaded grating coupler on lithium niobate thin film,3,2022,"Crystals, ",https://www.mdpi.com/2073-4352/12/1/70
22,"Y Liu, X Huang, Z Li, H Guan, Z Fan, W Han…",Silicon rich nitride-lithium niobate on insulator platform for photonics integrated circuits,3,2021,"arXiv preprint arXiv …, ",https://arxiv.org/abs/2105.07880
102,SD DeMars,Advanced hybrid bulk/integrated optical signal processing modules,3,1995,,https://search.proquest.com/openview/3dbd0cd557a0486357c6bd80a79d5add/1?pq-origsite=gscholar&cbl=18750&diss=y
82,SA Gneiting,Improved leaky-mode waveguide spatial light modulators for three dimensional displays,3,2017,,https://search.proquest.com/openview/514b0c71b9fe62d9ad5fdb504a984055/1?pq-origsite=gscholar&cbl=18750&diss=y
31,C Wang,Lithium Niobate Nonlinear Nanophotonics,3,2017,,https://search.proquest.com/openview/f8dc81ace451de0e42fe93f5ee02899d/1?pq-origsite=gscholar&cbl=44156
37,"U Saha, E Waks",Design of an Integrated Bell-State Analyzer on a Thin-Film Lithium Niobate Platform,3,2021,"IEEE Photonics Journal, ",https://ieeexplore.ieee.org/abstract/document/9655457/
61,"X Ma, X Liu, C Zhuang, R Zeng",High sensitivity thin-film lithium niobate electric field sensor,3,2022,"2022 IEEE International …, ",https://ieeexplore.ieee.org/abstract/document/9961756/
25,A Mercante,Design and fabrication of broadband thin-film lithium niobate phase modulators,3,2018,,https://search.proquest.com/openview/7f30b735e68c20ff940eb05f7464311c/1?pq-origsite=gscholar&cbl=18750&diss=y
44,A Rao,"Thin-film Lithium Niobate Photonics for Electro-optics, Nonlinear Optics, and Quantum Optics on Silicon",2,2018,,https://stars.library.ucf.edu/etd/5836/
26,"S Kang, F Gao, X Yu, F Bo, G Zhang, J Xu",Lithium niobate thin film grating couplers optimized by particle swarm optimization and a neural network,2,2023,"JOSA B, ",https://opg.optica.org/abstract.cfm?uri=josab-40-5-D21
35,"D Tu, X Huang, Y Yin, H Yu, Z Yu, H Guan, Z Li",Mode-Conversion-Based Chirped Bragg Gratings on Thin-Film Lithium Niobate,2,2022,"Photonics, ",https://www.mdpi.com/2304-6732/9/11/828
103,MR Wang…,Optically assisted three-dimensional packaging for multichip module applications,2,1993,"Army SBIR Contract No …, ",https://apps.dtic.mil/sti/citations/ADA311145
45,X Xia,Arsenic trisulfide on lithium niobate devices for infrared integrated optics,2,2011,,https://search.proquest.com/openview/37d7f89b57ba4f4b943dc540a64165cc/1?pq-origsite=gscholar&cbl=18750
56,"H Lin, S Gao, Y Luo, J Jian, M He, X Liu…",Ultrahigh-efficiency apodized grating couplers on hybrid amorphous silicon and lithium niobate platform,2,2019,"Asia Communications …, ",https://opg.optica.org/abstract.cfm?uri=ACPC-2019-M4A.238
47,"J Wang, H Yang, N Xiong, M Zhang, N Qian, S Yi, S Xu…",Toward photonic–electronic convergence based on heterogeneous platform of merging lithium niobate into silicon,2,2023,"JOSA B, ",https://opg.optica.org/abstract.cfm?uri=josab-40-6-1573
24,"S Yang, J Xu, Y Li, L Wu, X Quan, L Fu, M Liu…",Highly-efficient thin film LiNbO3 surface couplers connected by ridge-waveguide subwavelength gratings,2,2021,"Journal of Materials …, ",https://link.springer.com/article/10.1007/s10854-021-06599-7
10,"S Yang, J Xu, Y Li, L Wu, X Quan, L Fu, M Liu, X Cheng",Thin-film lithium niobate ridge-waveguide grating couplers integrated with anti-reflection slots interface,1,2021,"Optical Materials, ",https://www.sciencedirect.com/science/article/pii/S0925346721004304
17,Y Zhou,Chalcogenide-on-Lithium Niobate Resonator Waveguides and their nonlinear applications,1,2014,,https://voyagermis.library.tamu.edu/handle/1969.1/154000
8,A Kar,"Design, fabrication, and characterization of lithium niobate whispering-gallery-mode microdisk and microring resonators and grating couplers",1,2018,,https://www.ideals.illinois.edu/items/107424
19,C Zhang,Efficient light coupling for grating cavity using arsenic trisulfide grating coupler,1,2017,,https://core.ac.uk/download/pdf/87261330.pdf
53,"F Chen, H Amekura, Y Jia, F Chen, H Amekura…",Photonic Structures Based on Thin Films Produced by Ion Beams,1,2020,"Ion Irradiation of …, ",https://link.springer.com/chapter/10.1007/978-981-15-4607-5_3
94,"KR Yogesh Prasad, S Talabattula…",Design and analysis of integrated optic quadrature phase shift keying modulator,1,2014,"Optical …, ",https://www.spiedigitallibrary.org/journals/optical-engineering/volume-53/issue-1/015104/Design-and-analysis-of-integrated-optic-quadrature-phase-shift-keying/10.1117/1.OE.53.1.015104.short
27,A Al Sayem,Integrated Nano-Photonic Circuits on Thin-Film Lithium Niobate,1,2023,,https://search.proquest.com/openview/494b0e930934d789d0151e3e2e8045e5/1?pq-origsite=gscholar&cbl=18750&diss=y
89,J Chiles,Hybrid Integrated Photonic Platforms and Devices,1,2016,,https://stars.library.ucf.edu/etd/5275/
88,CJ Sarabalis,Acousto-optics in thin-film lithium niobate,1,2021,,https://search.proquest.com/openview/b5e92c73592730c550f1258c65b1f10d/1?pq-origsite=gscholar&cbl=18750&diss=y
85,Z Kong,Design and characterization of optical phased array with half-wavelength spacing,1,2021,,https://hammer.purdue.edu/articles/thesis/Design_and_characterization_of_optical_phased_array_with_half-wavelength_spacing/17145929/1
29,"C Zhang, CK Madsen",Demonstration of an As2S3 Grating Coupler on Thin Film LiNbO3,1,2018,"Optics and Photonics Journal, ",https://www.scirp.org/html/4-1190599_84267.htm
69,"B Slautin, A Turygin, E Pashnina, A Slautina…",Evolution of nanodomains and formation of self-organized structures during local switching in X-cut LNOI,1,2022,"Crystals, ",https://www.mdpi.com/2073-4352/12/5/659
40,A Honardoost,Thin-Film Lithium Niobate Integrated Photonics on Silicon for Electro-and Nonlinear-Optic Applications,1,2020,,https://stars.library.ucf.edu/etd2020/60/
65,"L Song, W Liu, Z Guo, H Li, Y Xie, Z Yu…",Anisotropic Thermo‐Optic Mach–Zehnder Interferometer on LNOI for Polarization Handling and Multiplexing,1,2023,"Laser & Photonics …, ",https://onlinelibrary.wiley.com/doi/abs/10.1002/lpor.202300025
63,"Z Wang, X Li, J Ji, Z Sun, J Sun, B Fang, J Lu…",Fast-speed and low-power-consumption optical phased array based on thin-film lithium niobate platform,1,2023,"arXiv preprint arXiv …, ",https://arxiv.org/abs/2304.11591
87,"HK Warner, J Holzgrafe, B Yankelevich…",Coherent control of a superconducting qubit using light,1,2023,"arXiv preprint arXiv …, ",https://arxiv.org/abs/2310.16155
6,"J Huang, N Chen, K Chen, T Chu",Low-loss grating coupler with a subwavelength structure on a thin-film lithium niobate substrate,,2024,"Optics Letters, ",https://opg.optica.org/abstract.cfm?uri=ol-49-2-222
15,"L Chen, X Han, X Zhou, R Yin, M Yuan…",Demonstration of a High‐Performance 3 dB Power Splitter in Silicon Nitride Loaded Lithium Niobate on Insulator,,2023,"Laser & Photonics …, ",https://onlinelibrary.wiley.com/doi/abs/10.1002/lpor.202300377
30,"J He, M Zhang, D Liu, Y Bao, C Li, B Pan, Y Huang…",Twelve-channel LAN wavelength-division multiplexer on lithium niobate,,2023,"…, ",https://www.degruyter.com/document/doi/10.1515/nanoph-2023-0665/html
32,JF Duffy,Acousto-optic filter device using proton-exchanged waveguides,,1986,,https://search.proquest.com/openview/75b555afc466518de3b50ad6b452c204/1?pq-origsite=gscholar&cbl=2026366&diss=y
33,MSI Khan,Arsenic Trisulfide on Lithium Niobate for Acousto-Optic Interactions,,2021,,https://search.proquest.com/openview/a96d5124bb839e22f47e6f0f33a70295/1?pq-origsite=gscholar&cbl=18750&diss=y
34,"Z Zhu, Z Wang, Z Fang, D Lin, Y Zhou…",Low Loss 1× 16/40 Flat Type Beam Splitters on Thin Film Lithium Niobate Using Photolithography Assisted Chemo‐Mechanical Etching,,2023,"Laser & Photonics …, ",https://onlinelibrary.wiley.com/doi/abs/10.1002/lpor.202301052
38,ANR Ahmed,Hybrid Thin-Film Lithium Niobate-Silicon Nitride Photonics,,2020,,https://search.proquest.com/openview/34f800a8a241961486ba3fd474512ce2/1?pq-origsite=gscholar&cbl=18750&diss=y
39,TP McKenna,Integrated Lithium Niobate Photonics for Quantum Technologies,,2021,,https://search.proquest.com/openview/dcd743118c9fdee0999a9ef7a8373abc/1?pq-origsite=gscholar&cbl=18750&diss=y
48,"SXU YI, W ZOU",Towards photonic-electronic convergence 2 based on heterogeneous platform of merging 3 lithium niobate into silicon,,2023,,https://opg.optica.org/josab/upcoming_pdf.cfm?id=484460
49,H Zhang,Analysis and fabrication of grating assisted optical components,,1994,,https://spectrum.library.concordia.ca/id/eprint/2500/1/MM90902.pdf
50,"C Wang, H Zhao, H Su, J Zhang",Plasmonic-based light emission due to nonlinear effect at ITO/LiNbO3 interface,,2019,"Photonic and Phononic …, ",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10927/109271B/Plasmonic-based-light-emission-due-to-nonlinear-effect-at-ITO/10.1117/12.2507700.short
51,CL Chen…,Fabrication and Experimental Techniques in Integrated Optics.,,1981,"Final Report, ",https://apps.dtic.mil/sti/citations/ADA115204
55,"B Chen, L Liu",One-Dimensional Grating Coupler on Thin Film Lithium Niobate for High-Efficiency and Polarization-Independent Coupling,,2022,"2022 Asia Communications and Photonics …, ",https://ieeexplore.ieee.org/abstract/document/10089121/
57,"H Yan, B Pan, Y Xie, L Liu, L Zhi…",Thin-film lithium-niobate-on-insulator modulators at a wavelength of 1064nm for high-power applications,,2023,"2023 Opto-Electronics …, ",https://ieeexplore.ieee.org/abstract/document/10209981/
58,"S Yang, J Xu, L Wu, X Cheng",High Coupling-Efficiency Ridge-Waveguide Gratings on Single Crystal Thin-Film Lithium Niobate (TFLN),,2021,"2021 Conference on Lasers …, ",https://ieeexplore.ieee.org/abstract/document/9571509/
62,NA Boynton,Heterogeneously Integrated Photonic Modulators and High-Volume Manufacturing of Related Technologies,,2021,,https://search.proquest.com/openview/abf660a51def27357a4e3425edf2578d/1?pq-origsite=gscholar&cbl=18750&diss=y
64,"I Christen, T Propson, A Menssen…",Scalable Multi-Channel Optical Waveform Generation with Lithium Niobate,,2022,"CLEO: Science and …, ",https://opg.optica.org/abstract.cfm?uri=cleo_si-2022-STu4F.2
66,"X Luo, W Tang, T Chu",Low-loss grating coupler with a gradient index-matching subwavelength structure,,2024,"Optics & Laser Technology, ",https://www.sciencedirect.com/science/article/pii/S0030399223007533
70,NGJ Da,Optical Modulation in Lithium Niobate and Barium Titanate Thin Films,,2022,,https://search.proquest.com/openview/79c6b9bf9edb6ae8081b270139bdde6b/1?pq-origsite=gscholar&cbl=2026366&diss=y
71,"C Sheng, Z Liu, S Zhu, H Liu",Integrated Broadband Mode Division Demultiplexer in Waveguide Arrays,,2023,"Physical Review Applied, ",https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.19.064014
72,DD Macik,"Optical Phased Arrays for High Speed, Non-Mechanical Beam Steering Applications",,2017,,https://core.ac.uk/download/pdf/287618382.pdf
74,"G Bahl, Board of Trustees of the University of Illinois",Acoustically Pumped On-Chip Optical Isolators,,2022,,https://apps.dtic.mil/sti/citations/AD1182901
75,"W Królikowski, W Yu, B Luther-Davies, M Werster…",Wave Mixing and Refractive Index Gratings in Photorefractive Waveguides,,1995,"Journal of Optics, ",https://link.springer.com/article/10.1007/BF03549768
77,G Martinez-Jimenez,Laser processing of amorphous silicon for photonic applications,,2017,,https://eprints.soton.ac.uk/415853/
78,RW Keys,Second Harmonic Generation in Proton-Exchanged Lithium Niobate Optical Waveguides,,1991,,https://search.proquest.com/openview/6af9f05bef0fcc6b2a17a4a431ae9e1d/1?pq-origsite=gscholar&cbl=2026366&diss=y
81,"T Park, HS Stokowski, V Ansari, S Gyger…",Single-Mode Squeezed Light Generation and Tomography with an Integrated Optical Parametric Oscillator,,2023,"arXiv preprint arXiv …, ",https://arxiv.org/abs/2310.12954
83,"M Shen, J Xie, Y Xu, S Wang, R Cheng, W Fu…",Photonic link from single-flux-quantum circuits to room temperature,,2024,"Nature …, ",https://www.nature.com/articles/s41566-023-01370-2
84,DB Walker,Ferroelectric liquid crystal waveguide modulators,,1999,,https://search.proquest.com/openview/5d86773d404fd8d922e63c3b8a981b0e/1?pq-origsite=gscholar&cbl=18750&diss=y
86,OPTICAL SOCIETY OF AMERICA WASHINGTON DC,Integrated Photonics Research Technical Digest Series. Volume 10. Conference Edition: Summaries of Papers Presented at the Integrated Photonics Research …,,1992,,https://apps.dtic.mil/sti/citations/ADA255423
90,"J Rodriguez, L Xu, Y Li",Hybrid on-chip microwave photonic signal processor architecture,,2017,"Sensors, and Command, Control …, ",https://www.spiedigitallibrary.org/conference-proceedings-of-spie/10184/101840M/Hybrid-on-chip-microwave-photonic-signal-processor-architecture/10.1117/12.2266415.short
91,P Yin,"Efficient Photonic Integrated Circuits–Optimizing Fiber-to-chip Coupling, Modulation, and Detection",,2022,,https://search.proquest.com/openview/8e8293fb864ac90968545e659387c7c5/1?pq-origsite=gscholar&cbl=18750&diss=y
92,ML Fanto,Nonlinear Optics in Photonic Ultrawide-Bandgap Circuits,,2020,,https://search.proquest.com/openview/c98677d8ff2b8e7ca8d460e28bb3ab28/1?pq-origsite=gscholar&cbl=18750&diss=y
96,A Sanchez-Postigo,Suspended Waveguide Platforms for Mid-Infrared Group IV Photonics,,2019,,https://riuma.uma.es/xmlui/handle/10630/19343
100,K Qaderi,Waveguide-Based Spatial Light Modulators for Use in Holographic Video Displays,,2018,,https://search.proquest.com/openview/de4b9897271b5f3719b79b9e5e2c8397/1?pq-origsite=gscholar&cbl=18750
106,DR Barton III,High Quality Factor Phase Gradient Metasurfaces for Nonlinear and Reconfigurable Nanophotonics,,2020,,https://search.proquest.com/openview/f8d212dbb311ee6e3ddb54eeda7c8ead/1?pq-origsite=gscholar&cbl=18750&diss=y
108,B Li,Integrated Acousto-Optics: Steering Light with Sound Waves on a Chip,,2022,,https://search.proquest.com/openview/1c0b2e31029da49e74a2851a3d2eaad0/1?pq-origsite=gscholar&cbl=18750&diss=y
110,C Qin,"Technologies for Elastic Optical Networking Systems in Spatial, Temporal and Spectral Domains",,2017,,https://search.proquest.com/openview/39bd74a138247e19aa20c8ffc0b0733e/1?pq-origsite=gscholar&cbl=18750
111,"J Abe, M Abtahi, A Accard, M Achouche…",2008 Index IEEE Photonics Technology Letters Vol. 20,,2008,"IEEE Photonics …, ",https://ieeexplore.ieee.org/abstract/document/4723493/
112,,2004 Index IEEE Photonics Technology Letters Vol. 16,,,,https://ieeexplore.ieee.org/abstract/document/1365620/
113,,AU THOR IN DEX,,,,https://ieeexplore.ieee.org/abstract/document/896361/
114,"AS Postigo, JG WANG, PAO MO",Suspended waveguide platforms for mid-infrared group iv photonics,,2019,,https://core.ac.uk/download/pdf/288162383.pdf
116,A Ruiz-Caridad,Rare-earth doped crystalline oxide on silicon photonics platform,,2021,,https://www.theses.fr/2021UPAST054
